=== MEAN VELOCITY PER LAYER ===
Layer,Mean_|V|_[m/s],Mean_u_[m/s],Mean_w_[m/s]
L17,0.2701844505727415,-0.07111971374458935,0.19866762855655606
L16,0.27962795465342694,-0.07967962137404437,0.2020993811481414
L15,0.27641801570841906,-0.08151564115103596,0.20038690379840882
L14,0.28037813720581256,-0.08446961349807028,0.20203094206776293
L13,0.28239186999588956,-0.08469136189789143,0.2024111756310693
L12,0.2761612077547627,-0.08233848216082704,0.19970261573911904
L11,0.2808410252647389,-0.08567030668733068,0.20116244416922327
L10,0.2841810407532002,-0.08493447378264636,0.20437256295552042
L09,0.2790230737745662,-0.08405411656656674,0.20157109060251416
L08,0.2820894545267344,-0.08627772527973998,0.2025018958956294
L07,0.2868957315665149,-0.08501555344056248,0.2024553866143417
L06,0.2771540503221356,-0.0848074170922382,0.19954905614027166
L05,0.2788810864177401,-0.08707048358994741,0.19942784955780007
L04,0.2843684675066111,-0.08960332993919762,0.2003295383391733
L03,0.27849569299436144,-0.09857931239710961,0.1973690987746168

=== OVERALL SIMULATION STATISTICS ===
Component,Min [m/s],Mean [m/s],Max [m/s],Std Dev [m/s]
u (X-velocity),-0.4718014850790651,-0.08451391121775287,0.4270058067144592,0.1175632397847627
w (Z-velocity),-0.0749193131708181,0.20104324811431837,0.8043081983239306,0.23993467456510234
|V| (Magnitude),1.2579040606726514e-05,0.2800133997918727,0.8467268149549778,0.2013535401874664
